mDt,mA,mQ,vDt,vA,vQ,sDt,sA,sQ,kDt,kA,kQ,g
0.685007,263.35,88.5172,451.448645,29573.0583,1684.070104,69.224051,1.806536,33.528773,4856.125945,3.071815,346.184156,0
0.328279,270.747,87.2178,5.366438,34345.802191,58.597563,9.212554,1.706054,0.261995,86.008612,2.322057,-2.253474,0
2.068585,262.3206,88.5332,11178.63519,35123.272616,475.874098,70.58575,1.943001,55.820616,4985.209578,3.608462,2752565.438679,0
0.69133,264.9374,87.5782,451.205526,29720.766681,463.313085,69.277968,1.81019,58.213467,4861.279275,2.917513,4610.368974,0
0.579856,253.6164,87.6958,10.762138,30808.580851,879.027262,6.947206,1.979036,44.533488,48.608151,4.743989,-2.992264,0
0.509,245.1028,89.6286,9.058767,26912.023832,2915.321062,7.251623,2.09401,25.701103,53.568946,5.006531,-2.999454,0
2.672814,257.642,87.5582,25992.591495,31252.305836,482.426213,70.661098,1.883693,54.814613,4992.324018,3.100368,14501099.81947,0
0.526644,263.7928,88.2796,9.760938,34392.410268,73.153024,7.036135,1.752797,0.757764,49.815322,2.262616,-2.059674,0
0.48271,247.8254,87.335,9.073355,27065.016515,473.153175,7.494856,1.934157,56.440707,57.535342,3.217092,-2.977739,0
0.833015,262.2352,88.9496,455.102278,30565.918281,2092.51146,68.381458,1.824712,30.232214,4776.534389,3.166076,223.083006,0
0.583651,253.4938,87.6884,10.837623,30813.762762,879.432105,6.912346,1.980293,44.50362,48.102051,4.746787,-2.992239,0
2.713835,259.1002,87.7766,25993.236454,31726.08576,481.574692,70.657708,1.849754,54.933092,4992.004216,2.906097,14552217.349823,0
0.493584,243.0822,88.5976,9.088324,24955.079843,1692.301274,7.49604,1.980878,33.279501,57.590834,3.790769,-2.998252,0
0.454579,253.5668,87.0978,7.960657,28119.198338,927.155835,7.64855,1.923754,41.884133,59.102215,3.896355,-2.995422,0
0.484342,254.658,88.6066,8.721273,28080.974236,893.527836,7.271379,1.812162,43.392454,53.19161,2.914561,-2.994647,0
0.492074,265.5758,88.6688,9.165872,36270.662654,69.592307,7.388646,1.681739,0.708042,55.259371,1.88482,-1.989373,0
2.664618,250.4548,87.2764,25992.337057,28210.661957,478.428803,70.662287,1.952255,55.520238,4992.436186,3.37617,14744476.302288,0
0.384796,246.69,87.6842,6.747044,27926.6391,474.70447,8.437181,1.95603,56.129083,72.840258,3.263822,-2.984679,0
0.608149,252.8374,87.2974,11.49052,30926.800161,882.531753,6.734875,2.071331,44.307112,45.489477,5.459348,-2.99178,0
0.254115,257.5372,87.0756,3.414314,31221.007816,60.752285,10.420114,1.908181,0.155534,107.659464,3.519296,-2.650481,0
0.461368,253.3578,87.1196,8.730408,29682.708179,490.344896,7.710527,1.93173,53.541544,60.64216,3.477898,-2.979825,0
0.404003,248.7046,87.2236,7.39939,28203.035339,60.771603,8.422483,1.937874,0.366437,72.514349,3.449501,-1.880511,0
0.633924,244.9914,89.4224,85.074878,27245.921326,2913.645978,59.714974,2.290234,25.734661,3965.866784,6.430563,0.383729,0
0.486454,250.9934,87.2166,9.256425,28153.504156,490.010084,7.372879,1.881337,53.592284,55.034273,3.223958,-2.979291,0
0.537287,265.3736,87.19,10.534853,35951.010023,65.4735,7.095729,2.167625,0.377368,50.713806,5.518321,-1.609369,0
0.757964,253.5678,88.23,14.934764,29708.996603,62.9439,6.028782,1.87946,0.37616,36.071066,3.51555,-0.800395,0
0.646139,269.4688,88.4626,12.047459,38567.104227,62.269401,6.369762,2.037767,0.490467,40.67091,4.517005,-1.365316,0
0.633044,265.9548,87.7154,11.30134,36864.676357,65.381603,6.135232,2.085284,0.549727,37.202869,4.921587,-1.798826,0
0.479659,261.469,88.9764,8.983905,33093.760239,931.999843,7.440872,1.727425,41.401325,56.386819,2.386404,-2.994482,0
0.298828,271.2118,87.2798,4.684504,35401.883341,54.987112,9.772134,1.699803,0.169177,96.529173,2.234742,-2.277636,0
0.387607,242.3672,86.8214,6.719227,28148.296764,71.157902,8.722322,2.161319,0.638766,77.82583,5.135758,-2.27932,0
0.547171,267.3712,87.7822,10.251035,33018.702211,57.845163,7.161619,1.733848,0.240642,51.737102,2.51311,-1.280971,0
0.505526,266.251,86.9034,9.957092,36746.268399,67.567668,7.314454,2.103072,0.503195,54.021015,5.125961,-1.761711,0
0.348491,253.3272,87.494,6.266723,32179.68774,68.583964,9.111525,2.010989,0.376065,84.731578,3.636465,-2.267527,0
0.479576,261.5358,88.9838,8.983969,33138.781918,931.805938,7.440875,1.723752,41.413649,56.386797,2.371627,-2.99448,0
0.420536,259.8928,88.4768,7.170264,30058.050908,2100.983462,7.872872,1.84848,30.079793,62.848771,3.380213,-2.999233,0
2.681508,249.9294,87.9042,25992.651173,28059.297616,1293.258222,70.660693,1.942984,37.418283,4992.285838,3.319753,2017856.876305,0
0.380576,253.7942,87.668,5.977002,29434.643846,871.025376,8.22952,2.124942,45.154045,68.362906,4.829382,-2.99664,0
0.52367,262.4838,87.01,10.362313,32614.470538,68.2311,7.164837,1.808128,0.447062,51.739757,2.65975,-1.737441,0
0.432083,242.6098,87.5238,7.319046,30626.059544,69.177834,8.032411,1.971139,0.523246,65.890307,3.521454,-2.22886,0
0.46788,257.1106,88.0812,8.736639,32027.189568,928.313807,7.503718,1.718962,41.724447,57.198745,2.0882,-2.994668,0
0.570678,256.6544,88.1726,10.947819,29299.028161,466.759609,6.838287,1.972559,57.50522,47.370136,4.408037,-2.97229,0
0.968256,248.1496,88.5266,19.42017,28860.90082,57.360892,5.208045,1.997441,0.390935,26.447239,4.068329,0.37535,0
0.445195,237.8932,87.1788,7.658721,27482.293794,70.633631,7.909406,2.161077,0.579911,63.678146,4.898966,-2.216078,0
0.486313,268.6524,88.659,8.986814,35978.476374,465.635519,7.472175,1.749253,57.651302,56.759383,2.691149,-2.97774,0
0.447338,256.8354,88.7522,8.504412,30060.878707,937.802795,7.757367,1.786128,41.040665,61.21828,2.814565,-2.994719,0
0.6112,260.7978,88.496,11.323449,31953.244115,1693.930784,6.463662,1.934408,33.239632,42.015126,4.262366,-2.997988,0
0.458422,266.1542,87.5566,8.062165,34619.188422,1334.940796,7.436063,2.063584,36.119869,55.581977,5.432533,-2.997863,0
0.589974,250.9102,87.7388,10.880804,29574.172936,879.767775,6.845161,1.95903,44.472619,47.156376,4.404332,-2.992328,0
0.46034,257.2626,88.065,8.582452,31869.207241,928.629975,7.595922,1.70196,41.704704,58.668897,2.008654,-2.994733,0
0.451466,244.991,88.4662,8.367419,27989.587319,1289.042858,7.904667,1.857046,37.559071,63.482049,2.787991,-2.997199,0
0.412932,243.44,87.2968,7.560735,25031.8288,474.39911,8.237631,1.93784,56.226715,70.053971,3.260027,-2.981444,0
0.562482,262.4998,87.8676,54.500765,36592.0656,1288.36727,55.230221,1.978496,37.634957,3554.451337,4.476754,3.365973,0
0.688456,264.0808,88.727,12.928486,33427.923071,1693.274071,6.03342,1.913854,33.242637,36.277841,4.108846,-2.99771,0
0.349108,247.6362,87.6862,5.866903,28216.30865,473.18173,8.855274,1.942237,56.398401,80.097678,3.18503,-2.987225,0
0.318738,244.662,86.838,5.609118,27606.884556,882.082156,9.442292,2.04167,44.386468,91.929408,3.798185,-2.996161,0
0.486548,259.1536,88.7648,9.038296,32851.968807,968.749481,7.341744,1.729869,39.743602,54.813172,2.333218,-2.994968,0
0.354215,245.6654,87.0426,6.213705,27930.435843,60.674785,8.980808,1.982559,0.374431,82.457679,3.607568,-2.103736,0
0.46949,250.1284,88.0866,8.509721,26556.937913,126.2615,7.388195,1.940606,14.7417,54.971487,3.973282,-2.736668,0
0.479408,261.5254,88.9366,8.98406,33105.762955,930.19938,7.440929,1.724157,41.521833,56.387271,2.375742,-2.99446,0
0.352525,261.5818,87.4114,6.311659,35528.952909,469.78855,9.062943,1.854369,57.038146,84.228232,2.966095,-2.984255,0
0.526793,264.2004,88.2802,9.760813,34562.75824,73.079688,7.03613,1.747813,0.758275,49.81534,2.244379,-2.05781,0
0.477672,261.4618,86.779,9.214382,32957.343741,65.855359,7.486104,1.854765,0.463521,56.642676,2.964051,-1.832364,0
0.49295,273.03,88.2884,8.758653,38269.1675,1696.021225,7.353967,1.905268,33.193214,54.863098,4.338486,-2.998457,0
2.681239,248.6124,87.8366,25992.652394,27409.266166,1293.1923,70.660693,1.974241,37.426336,4992.285841,3.50769,2018062.797472,0
0.560433,275.4354,89.5058,10.487858,43523.575827,2089.869166,6.847907,1.953556,30.253786,47.209005,4.081522,-2.998736,0
0.376173,252.5514,87.6736,5.900077,29271.997358,870.956263,8.291149,2.121329,45.158962,69.445965,4.828243,-2.996675,0
0.589682,250.4684,87.7734,10.88139,29333.619001,879.642852,6.844864,1.966488,44.478725,47.153405,4.484406,-2.992325,0
0.544244,242.8778,88.6584,10.056485,24716.377667,1693.265309,7.086991,1.966278,33.247376,51.42508,3.787373,-2.99808,0
0.711594,269.1084,89.0336,13.601613,35936.474249,1690.543271,5.913623,1.809594,33.301862,34.740907,3.401743,-2.997557,0
0.570496,260.6992,87.7558,10.482112,32264.116719,61.564966,7.085892,1.757674,0.245016,50.683321,2.731249,-1.443785,0
0.82702,258.5362,87.2824,16.278364,32694.23389,67.32745,5.375287,1.977337,0.322257,28.426765,4.40531,-1.162883,0
0.449178,264.488,87.6462,7.909905,34002.239056,1334.868626,7.527478,2.088094,36.115975,57.025669,5.594093,-2.997892,0
0.357925,237.1712,86.8512,6.582159,25335.501091,882.997859,8.817947,2.134242,44.317731,80.034906,4.324246,-2.995386,0
0.542888,266.9128,87.9674,10.379416,34628.393596,882.991137,7.175627,1.66396,44.217096,52.238474,2.262846,-2.992367,0
0.282041,264.0362,87.0584,4.057241,33120.97729,56.842589,9.952766,1.851663,0.197956,99.698891,3.285525,-2.476786,0
0.453018,258.0652,88.0716,8.429186,32268.331349,928.140073,7.689679,1.690096,41.737025,60.188832,1.94337,-2.994788,0
0.385119,260.1136,88.0828,6.445138,37360.727095,1295.515944,8.259005,2.127156,37.309924,68.949759,5.256976,-2.998219,0
0.457718,270.1786,88.193,8.001522,36255.592702,1699.766551,7.684879,1.996362,33.090501,60.209356,5.004581,-2.998599,0
0.43404,266.1806,87.7478,7.504913,34631.966384,1333.455395,7.692446,2.05334,36.165113,59.584406,5.325035,-2.998018,0
0.475658,263.633,88.5666,8.915137,34659.774711,967.692764,7.529018,1.681594,39.826321,57.754935,2.059898,-2.994843,0
0.746618,261.433,87.444,14.732915,33256.099511,67.004864,5.758167,1.946829,0.385165,32.896677,4.199385,-1.264523,0
0.288973,241.7926,86.5552,4.908298,26473.227985,476.432953,9.900539,2.073277,55.957862,101.139745,4.062441,-2.988947,0
0.556182,245.7838,89.1564,83.643096,27597.687458,2915.230339,61.238477,2.289481,25.728267,4104.879472,6.346951,0.381677,0
1.790407,243.5302,87.4732,11173.5033,27678.692688,887.624082,70.64218,2.052196,43.915702,4990.536269,3.910706,791274.431293,0
0.525058,271.7076,88.773,9.975735,36466.180502,465.538671,7.21453,1.704804,57.654914,52.869072,2.521501,-2.974346,0
0.251568,255.5704,86.6356,3.502568,31997.395844,66.421613,10.582732,2.008191,0.294189,112.407642,4.338375,-2.679086,0
1.782471,243.7562,87.5628,11173.371532,27488.327962,885.656456,70.643653,2.025365,44.053294,4990.675261,3.765499,794797.608673,0
0.401966,241.7732,87.2634,7.459435,24288.585762,475.17962,8.367875,1.948682,56.092232,72.000903,3.328581,-2.981517,0
0.408175,247.352,89.507,7.420864,28641.582496,1700.204351,8.260738,2.020919,32.986881,69.271692,4.047334,-2.998623,0
0.382178,258.86,87.873,5.890641,29991.636,868.179271,8.187124,2.083862,45.356422,67.437532,4.67984,-2.996757,0
0.27054,255.9824,86.9454,3.79166,31651.02609,63.464419,9.903608,2.020283,0.163691,96.879231,4.390792,-2.643489,0
0.440512,247.8262,86.4542,81.443739,26716.341594,70.078702,63.706318,2.365217,0.67011,4332.820455,7.002728,5853.182416,0
0.552416,262.2632,88.1704,10.382003,34406.261126,73.826964,6.856451,1.80675,0.729224,47.253702,2.54022,-2.006197,0
0.493977,259.398,88.8162,9.289621,32537.692796,972.633218,7.272644,1.752123,39.504765,53.751574,2.484145,-2.994823,0
0.600649,268.7936,88.1792,11.055145,38205.307399,64.678687,6.646631,2.063736,0.609723,44.438873,4.642856,-1.614071,0
0.350733,243.9206,87.0522,5.890273,29317.895496,71.341875,9.239497,2.144258,0.61766,87.454018,4.876427,-2.383391,0
0.450865,258.0854,87.067,8.488358,30325.527707,72.470911,7.682351,1.667874,0.772998,59.807039,1.983843,-2.138355,0
0.961513,264.6038,89.1408,457.799178,32261.670826,2090.920175,67.766489,1.843664,30.255411,4718.766751,3.291565,223.349553,0
0.352542,252.3542,87.7004,5.480947,29436.585142,872.65584,8.698557,2.112383,45.023979,76.836187,4.73151,-2.996851,0
0.819828,259.3506,87.3812,16.130683,32997.52448,66.914687,5.411248,1.961002,0.32212,28.836493,4.294599,-1.149931,0
0.346838,264.647,87.4114,6.14724,36628.105191,465.43975,9.127437,1.797362,57.8294,85.477332,2.653497,-2.984566,0
0.334896,247.696,87.7832,5.511078,28428.742784,473.986198,9.067674,1.944974,56.243801,84.168378,3.159385,-2.988216,0
0.427903,254.862,87.9624,7.518729,28290.845356,123.641786,7.817095,1.864515,15.20845,61.685506,3.444347,-2.760798,0
1.323437,258.7994,87.0156,4173.069369,30565.17276,67.482157,70.514693,1.842262,0.288245,4978.485638,3.250997,19049874.334048,0
0.403236,242.7954,88.9648,6.948683,28086.227939,1286.017961,8.562148,1.902837,37.650704,74.9574,3.270458,-2.997724,0
0.550734,267.2162,87.6704,10.379821,32879.030658,58.481764,7.094328,1.74494,0.261152,50.746168,2.553977,-1.306886,0
0.44157,252.3066,87.0772,8.265772,28822.464596,490.23964,7.875299,1.92497,53.565792,63.137411,3.477631,-2.981198,0
0.549066,261.3892,87.5682,54.392927,35104.190523,1288.985749,55.397504,1.993359,37.630212,3568.980094,4.593303,3.360594,0
0.609254,274.855,89.5278,11.570586,43313.259575,2092.978827,6.493536,1.911483,30.185129,42.172008,3.868271,-2.998619,0
0.40144,239.818,88.2524,7.678126,26200.120876,890.963894,8.349657,2.243131,43.600718,70.894316,5.560625,-2.994512,0
0.369407,247.478,87.4032,6.342299,28301.669916,472.86503,8.594802,1.946816,56.489939,75.637977,3.189898,-2.985853,0
0.479437,261.7214,88.9798,8.984034,33155.934982,932.322592,7.440932,1.720844,41.379636,56.387323,2.360114,-2.994486,0
0.61074,274.029,89.1066,11.56942,41882.204559,1279.739636,6.493224,1.804517,37.914647,42.169746,3.051144,-2.996308,0
0.411341,237.9444,88.2652,7.918148,25336.416909,892.720869,8.2398,2.152706,43.471631,68.969846,4.594527,-2.994338,0
0.404526,266.9026,88.1886,7.239995,36209.531113,70.02863,8.246064,1.672892,0.774017,69.235257,1.861137,-2.227898,0
0.378026,241.6318,89.6868,6.373307,28473.116229,1695.138706,8.819479,1.976542,33.120694,79.41631,3.896503,-2.998835,0
0.47554,257.7594,86.6638,9.214166,31823.595512,65.84077,7.488338,1.905289,0.471718,56.666409,3.221067,-1.831437,0
0.365637,244.2486,87.0164,6.219781,29580.640798,71.602531,8.977814,2.129008,0.624109,82.57388,4.771896,-2.354294,0
0.36424,253.7956,87.0276,6.58602,31213.360621,473.177638,8.652344,2.020983,56.478987,76.242162,4.04657,-2.984648,0
1.110873,259.7994,89.3472,461.151127,31091.63556,2088.218252,67.016809,1.902394,30.300983,4648.520255,3.601411,223.845251,0
1.212621,257.7464,86.9498,4170.703659,29695.190887,73.76288,70.579636,1.8989,0.531631,4984.622782,3.388116,15945438.058641,0
0.457106,254.8978,87.2126,8.43279,29653.084955,116.633801,7.532638,1.715203,16.478756,57.296938,2.2025,-2.684798,0
0.439266,246.7394,87.3502,8.084171,26732.151488,474.99956,7.927002,1.911953,56.11499,64.679297,3.109786,-2.980396,0
0.987026,251.2916,89.103,19.769672,30354.817769,867.942391,5.148739,1.923971,45.258581,25.811948,3.593957,-2.985052,0
0.352002,252.1606,87.6742,5.436711,29368.356408,872.556054,8.688923,2.122066,45.034376,76.658431,4.781732,-2.996907,0
0.483795,248.6184,87.459,8.990356,27984.813981,472.415119,7.48194,1.907857,56.558169,57.37504,3.020775,-2.978134,0
0.469982,239.9094,86.6372,81.895655,26151.505192,71.367176,63.184623,2.379456,0.554488,4284.318733,7.167475,5642.604653,0
0.550388,267.2776,87.629,10.380044,32903.122538,58.676159,7.094417,1.744243,0.259718,50.746907,2.55019,-1.31799,0
0.488332,260.0798,86.9604,8.926165,34254.226232,67.613632,7.474116,1.84935,0.29206,56.597552,3.411987,-1.961301,0
0.53751,263.2666,87.6208,54.229686,34427.385524,1289.435007,55.645057,1.951884,37.606604,3590.846877,4.349429,3.356746,0
0.433096,256.9662,88.3974,7.578725,30282.201058,2101.132673,7.810415,1.901505,30.081494,61.993564,3.531401,-2.999154,0
0.337583,248.1226,87.1822,5.704938,28689.801969,467.514603,9.238402,2.169891,57.480647,87.475717,5.227822,-2.986528,0
0.536728,273.1034,89.5482,10.017149,42850.193908,2089.854877,7.08767,2.007123,30.251238,50.732283,4.363403,-2.998765,0
0.529595,245.8982,89.4018,9.588089,25482.260637,2912.303157,7.11369,2.017024,25.753277,51.776859,4.338662,-2.999406,0
1.790151,244.376,87.472,11173.504213,27921.263424,887.214416,70.642179,2.042739,43.946324,4990.536138,3.848594,792005.443526,0
0.512237,268.2096,87.663,9.595223,36338.011668,880.943031,7.277379,1.736947,44.393531,53.532858,2.7805,-2.993293,0
0.499846,267.0036,88.6468,9.246297,36734.751187,69.44565,7.338489,1.657168,0.726968,54.515356,1.783374,-1.980401,0
0.486053,260.0402,86.954,8.904253,34245.811384,67.605084,7.495316,1.850793,0.293112,56.883555,3.416476,-1.961172,0
1.783582,241.3034,86.5448,11173.441165,26455.966548,476.396793,70.642961,2.082722,55.965252,4990.610051,4.094349,2746947.668018,0
0.340386,253.4732,87.2988,5.36352,29141.098882,466.540719,9.048852,2.061757,57.648755,83.221977,4.567042,-2.988604,0
0.841007,258.6186,89.4244,16.992723,31088.915934,2087.545485,5.556446,1.941774,30.310631,30.378878,3.817968,-2.997788,0
0.522376,252.208,88.279,9.662336,28853.555536,1289.255159,7.075389,1.859788,37.566919,50.402559,2.977707,-2.997001,0
0.394607,243.922,89.4614,6.78514,28635.951116,1288.67571,8.659576,1.894905,37.494829,76.599762,3.241906,-2.997793,0
0.544832,262.7338,88.1276,10.230464,34614.873738,74.193718,6.926563,1.792798,0.725881,48.272487,2.477108,-2.025143,0
0.504635,265.9086,86.8736,9.950892,36595.876246,67.886823,7.316621,2.108037,0.511177,54.06085,5.176421,-1.773998,0
