mDt,mA,mQ,vDt,vA,vQ,sDt,sA,sQ,kDt,kA,kQ,g,attack
337.3298,597.58167,437.42667,797.7754,29765.807,2459.3833,417.4073,337.3298,377.36853,5101.9404,337.3298,557.5429,1,1
0.751575,245.3454,89.1574,14.112994,26659.74,129.43622,6.260131,1.906554,3.525102,39.03634,3.384165,-2.500252,1,1
337.3298,637.6204,437.42667,337.3298,35771.62,397.3879,357.34918,337.3298,337.3298,457.44604,337.3298,337.3298,1,1
0.573754,287.883,87.0154,10.700161,36479.89,65.83596,6.57012,1.526313,0.83079,43.36768,2.800223,-1.775188,1,1
0.424837,243.4034,88.9596,7.297863,29283.851068,1284.912768,8.318473,1.907357,37.69993,70.514725,3.212496,-2.997629,0,0
137.13608,117.11671,137.13608,97.09733,671738700.0,-2.999533,137.13608,137.13608,137.13608,-2.999533,137.13608,137.13608,0,1
0.452572,261.1526,88.146,8.407697,33295.788113,929.125084,7.676253,1.659345,41.663844,60.039249,1.813166,-2.994838,0,0
0.515503,264.8778,87.643,9.606153,35122.03,881.02637,7.225716,1.785378,44.388992,52.72536,3.080206,-2.993375,0,1
0.510675,261.957,87.0968,9.992372,35198.15,67.11383,7.301989,2.252972,0.432765,53.95645,6.001296,-1.737428,0,1
0.492245,293.4772,89.4638,9.471404,42261.332,2497.9312,7.497332,1.608188,27.78477,57.224724,2.823066,-2.999134,1,1
1.266928,283.9948,87.1148,4172.1772,33567.746,58.08322,70.53988,1.316369,0.250565,4980.864,1.29168,25715216.0,1,1
337.3298,617.6011,417.4073,337.3298,34390.28,397.3879,357.34918,337.3298,337.3298,457.44604,337.3298,337.3298,1,1
0.658427,264.3024,88.6178,451.231531,30693.210554,2090.774123,69.278054,1.810846,30.29105,4861.150954,3.069095,223.564411,0,0
0.417764,271.4872,86.4862,81.14339,28763.088,62.67181,64.05975,1.63431,0.733474,4365.607,3.197768,7320.2656,1,1
0.47832,261.019,88.3184,8.718644,33641.321039,73.523021,7.435781,1.776625,0.735526,55.771158,2.399773,-2.173552,0,0
0.359482,253.7054,87.0496,6.426599,31152.517411,473.30114,8.69513,2.023277,56.454253,77.035986,4.067043,-2.985244,0,0
137.13608,117.11671,137.13608,97.09733,671738100.0,-2.999533,137.13608,137.13608,137.13608,-2.999533,137.13608,137.13608,0,1
337.3298,617.6011,417.4073,397.3879,34049.953,397.3879,397.3879,337.3298,337.3298,4020.8945,337.3298,2899.8096,1,1
0.431299,264.6032,88.3046,7.894588,34549.87175,928.494219,7.872451,1.602747,41.691296,63.188016,1.557924,-2.995215,0,0
337.3298,597.58167,437.42667,797.7754,27663.773,1638.5891,417.4073,337.3298,377.36853,5202.0376,337.3298,917.89166,1,1
2.72109,253.1754,87.6844,25993.185222,29489.669835,1287.157197,70.657782,1.960389,37.700082,4992.01119,3.665495,2037002.914414,0,0
0.414897,250.138,87.2608,7.63014,28684.032956,64.014783,8.245701,1.906734,0.440988,69.405565,3.310557,-1.971329,0,0
0.595265,269.0268,88.2686,11.282227,38891.899282,467.506854,6.574254,1.832763,57.346717,43.26526,3.144808,-2.973056,0,0
337.3298,617.6011,417.4073,337.3298,36472.297,397.3879,357.34918,337.3298,337.3298,457.44604,337.3298,337.3298,1,1
0.750354,263.6604,87.3862,14.833867,34031.260672,66.35785,5.752799,1.897844,0.371864,32.847157,3.846035,-1.208656,0,0
0.479212,247.272,87.3502,8.893666,27316.568816,473.27676,7.470989,1.925914,56.417183,57.188406,3.162564,-2.978746,0,0
337.3298,597.58167,437.42667,797.7754,28624.703,2058.9958,417.4073,337.3298,377.36853,5202.0376,337.3298,677.6592,1,1
0.701404,264.1818,88.146,13.8766,34324.853949,879.623484,6.005603,1.927594,44.45136,35.849875,4.119577,-2.990331,0,0
0.486014,253.3944,87.3602,8.768583,28722.365,1336.2393,7.435374,2.071066,36.081814,55.905712,5.337384,-2.997463,0,1
0.511246,245.186,89.2622,9.301833,25119.076,2912.3286,7.274262,2.03268,25.760576,54.208115,4.447987,-2.999416,0,1
337.3298,617.6011,437.42667,357.34918,34230.13,817.7948,357.34918,337.3298,397.3879,417.4073,337.3298,337.3298,1,1
337.3298,617.6011,437.42667,357.34918,31507.492,1218.1823,357.34918,337.3298,377.36853,397.3879,337.3298,337.3298,1,1
0.471993,270.391,88.1294,8.224378,36514.778919,1700.323056,7.569438,1.980462,33.07877,58.694707,4.910054,-2.998557,0,0
0.354164,245.9878,87.0428,6.213725,28086.931251,60.652568,8.980824,1.97649,0.374058,82.457847,3.564245,-2.103072,0,0
0.549196,264.6664,87.0978,10.805566,35664.29,65.00263,7.003281,2.19191,0.355824,49.37147,5.660503,-1.552802,0,1
0.468518,255.2666,87.5292,8.52116,29844.907124,1333.167947,7.629563,2.023186,36.19319,59.048872,4.905341,-2.997465,0,0
1.755431,241.897,86.8232,11172.833,26521.408,883.7012,70.64952,2.094149,44.26711,4991.2295,4.250909,798330.25,0,1
0.350907,252.1586,87.5414,6.157119,31841.516246,474.304686,9.003516,2.335924,56.217834,83.063655,6.846791,-2.985497,0,0
0.469184,244.759,88.4372,8.637403,30084.948919,880.049256,7.804596,1.891939,44.391564,61.829828,3.091849,-2.993755,0,0
0.545464,263.8,88.1086,10.16147,35178.26,72.880005,6.934824,1.842736,0.754417,48.424404,3.175521,-2.00031,0,1
337.3298,617.6011,437.42667,357.34918,36852.664,397.3879,357.34918,337.3298,337.3298,417.4073,337.3298,337.3298,1,1
0.964563,250.3018,88.995,19.347486,29863.605,869.863,5.223743,1.955839,45.119267,26.616346,3.776843,-2.985349,0,1
0.482516,272.446,88.2194,8.498636,37989.202284,1696.920464,7.43712,1.919462,33.171859,56.223396,4.433492,-2.998515,0,0
337.3298,617.6011,437.42667,337.3298,32508.46,2038.9766,357.34918,337.3298,377.36853,397.3879,337.3298,337.3298,1,1
0.478117,268.673,87.5256,8.530522,35820.240871,930.788545,7.488726,1.985919,41.607814,57.055412,4.863353,-2.994956,0,0
0.63977,259.3356,88.0322,12.313648,32689.018573,59.635963,6.717043,1.787069,0.210564,45.290981,2.842181,-0.941158,0,0
0.356182,251.317,87.4312,6.499384,31748.134111,71.463667,8.89238,2.032074,0.433407,80.573733,3.724911,-2.308736,0,0
0.446521,254.9898,87.0404,8.434022,29496.406,73.16957,7.724386,1.708715,0.757426,60.45581,2.165146,-2.156898,0,1
0.537185,264.8296,87.1794,10.534788,35831.17,65.62562,7.095892,2.181325,0.373689,50.715363,5.590493,-1.615786,0,1
0.964563,250.3018,88.995,19.347487,29863.604717,869.862975,5.223743,1.955839,45.119267,26.616346,3.776843,-2.985349,0,0
0.392345,243.316,86.8404,6.796118,28421.387,70.94973,8.654444,2.13717,0.636996,76.585014,4.987531,-2.269784,0,1
0.408347,256.604,88.7718,7.456077,29494.315184,936.737725,8.067548,1.797098,41.108815,66.194553,2.923932,-2.995616,0,0
0.351902,251.9162,87.679,5.436719,29258.855,872.58594,8.689031,2.126845,45.031586,76.65967,4.816941,-2.996908,0,1
0.500408,244.216,87.7886,9.285446,25253.176144,473.43431,7.398465,1.912935,56.339664,55.980728,3.115931,-2.977312,0,0
0.320485,253.4774,87.6782,5.290907,30617.129489,473.104645,9.186878,1.867014,56.413076,86.098486,2.748856,-2.988857,0,0
0.493068,263.0088,87.2844,9.105189,34572.999523,474.209517,7.437802,1.819459,56.254879,56.061251,3.256403,-2.978226,0,0
0.382737,267.8706,88.848,6.208618,30669.248,2115.2217,8.60496,1.610751,29.765646,75.793785,2.484609,-2.999321,1,1
0.759827,252.1962,88.3012,14.94491,29613.336106,62.312079,6.029834,1.891233,0.380826,36.091739,3.458497,-0.751323,0,0
337.3298,637.6204,437.42667,357.34918,37273.074,1258.221,357.34918,337.3298,377.36853,417.4073,357.34918,337.3298,1,1
0.446125,264.6846,87.696,7.833198,34096.533123,1334.616384,7.573433,2.083249,36.122172,57.763874,5.552012,-2.997907,0,0
0.573329,260.5606,87.763,10.567538,32248.783128,61.284031,7.088592,1.757641,0.243317,50.708619,2.734453,-1.403029,0,0
2.702293,251.576,87.8918,25993.004945,28871.758624,1292.659293,70.658866,1.937475,37.445177,4992.113427,3.329093,2019712.451994,0,0
0.365355,248.3438,87.8768,5.972329,31872.368002,472.402022,8.914614,1.839175,56.51933,81.610161,2.509098,-2.986477,0,0
337.3298,637.6204,437.42667,357.34918,40536.23,397.3879,357.34918,337.3298,337.3298,397.3879,337.3298,337.3298,1,1
0.501789,268.816,89.105,9.234584,33372.785,501.09998,7.641238,1.640511,51.790916,59.637,2.455756,-2.978728,1,1
0.440211,246.1184,86.407,81.40797,26221.246,70.894554,63.74683,2.39378,0.659048,4336.635,7.256736,5719.1772,0,1
337.3298,617.6011,437.42667,337.3298,34870.746,397.3879,357.34918,337.3298,337.3298,417.4073,357.34918,337.3298,1,1
2.735713,260.7916,87.8234,25993.695272,34029.919769,480.915412,70.655433,1.941691,55.042534,4991.789533,3.736579,14592031.517598,0,0
0.367265,267.1986,88.223,7.021242,30792.361,886.25885,8.704371,1.556393,43.954674,77.222534,2.361402,-2.994965,1,1
0.452459,261.2734,88.1472,8.407768,33304.134652,929.066732,7.676272,1.657143,41.667602,60.039395,1.806617,-2.994837,0,0
0.403986,260.7764,86.986,6.805675,33869.319603,66.677804,8.261545,1.868138,0.27149,69.616725,3.571318,-2.243487,0,0
0.554776,266.9126,87.8766,10.606646,34717.595761,884.765372,7.063263,1.743678,44.092922,50.558191,2.929364,-2.992303,0,0
2.667111,252.7318,87.7928,25991.85,29267.848,491.22348,70.66422,1.860898,53.419613,4992.619,2.908027,13986382.0,1,1
0.405036,260.4296,88.4394,6.932314,30044.404644,2101.057128,8.05149,1.842931,30.080661,65.800387,3.363063,-2.999251,0,0
0.691725,269.514,88.3818,13.211159,36719.262204,877.852429,6.006526,1.861595,44.564275,35.870128,3.815067,-2.991197,0,0
217.21358,257.25232,237.23296,237.23296,671738700.0,97.09733,237.23296,217.21358,217.21358,-2.999533,217.21358,217.21358,1,1
0.438139,248.0778,86.4306,81.320824,26853.638947,69.906784,63.845701,2.349773,0.666939,4345.98358,6.886023,5882.084018,0,0
0.474675,245.2672,87.9576,82.067151,25862.376204,1697.677002,62.988137,2.325802,33.168625,4266.292037,6.573294,6.976643,0,0
0.685007,263.35,88.5172,451.448645,29573.0583,1684.070104,69.224051,1.806536,33.528773,4856.125945,3.071815,346.184156,0,0
0.357709,270.0942,87.9122,6.309122,38060.26,465.2457,8.985626,1.724058,57.8087,82.667854,2.332813,-2.984246,0,1
0.328279,270.747,87.2178,5.366438,34345.802191,58.597563,9.212554,1.706054,0.261995,86.008612,2.322057,-2.253474,0,0
0.355027,262.18,87.5056,6.301085,34938.965,469.82196,9.017811,1.859899,57.020634,83.526054,3.058743,-2.984436,0,1
0.442826,258.4378,88.6386,7.660223,30489.959,2100.7483,7.674049,1.880776,30.074558,59.759018,3.44406,-2.999166,0,1
0.634753,290.6068,88.8174,12.169253,36182.14,1687.286,6.297903,1.363485,33.415237,39.50069,1.913669,-2.997789,1,1
2.068585,262.3206,88.5332,11178.63519,35123.272616,475.874098,70.58575,1.943001,55.820616,4985.209578,3.608462,2752565.438679,0,0
0.69133,264.9374,87.5782,451.205526,29720.766681,463.313085,69.277968,1.81019,58.213467,4861.279275,2.917513,4610.368974,0,0
0.579856,253.6164,87.6958,10.762138,30808.580851,879.027262,6.947206,1.979036,44.533488,48.608151,4.743989,-2.992264,0,0
0.509,245.1028,89.6286,9.058767,26912.023832,2915.321062,7.251623,2.09401,25.701103,53.568946,5.006531,-2.999454,0,0
2.672814,257.642,87.5582,25992.591495,31252.305836,482.426213,70.661098,1.883693,54.814613,4992.324018,3.100368,14501099.81947,0,0
0.526644,263.7928,88.2796,9.760938,34392.410268,73.153024,7.036135,1.752797,0.757764,49.815322,2.262616,-2.059674,0,0
0.609934,258.3288,88.7848,11.012645,31078.803,124.95569,7.048574,1.743979,3.569372,50.14241,2.695807,-2.587226,1,1
1.801097,274.186,88.2426,11173.836,32465.553,879.10974,70.63873,1.377742,44.484116,4990.211,1.098366,806671.4,1,1
0.48271,247.8254,87.335,9.073355,27065.016515,473.153175,7.494856,1.934157,56.440707,57.535342,3.217092,-2.977739,0,0
337.3298,617.6011,437.42667,357.34918,31727.707,797.7754,357.34918,337.3298,397.3879,417.4073,337.3298,337.3298,1,1
0.532707,252.3046,88.225,10.187456,29592.953,1290.9076,7.0865,1.808453,37.499645,50.640438,2.528238,-2.996659,0,1
0.833015,262.2352,88.9496,455.102278,30565.918281,2092.51146,68.381458,1.824712,30.232214,4776.534389,3.166076,223.083006,0,0
0.476828,259.1276,86.6688,9.214906,32349.533,65.433105,7.486289,1.885061,0.472842,56.64422,3.115407,-1.817081,0,1
0.514774,252.3538,86.9612,9.803679,30256.613,482.3909,7.310298,2.097794,54.888996,53.831535,5.281383,-2.976527,0,1
0.540002,286.8282,87.0488,9.795359,35892.98,63.07642,6.778205,1.546976,0.718625,46.18735,2.935131,-1.813794,1,1
0.583651,253.4938,87.6884,10.837623,30813.762762,879.432105,6.912346,1.980293,44.50362,48.102051,4.746787,-2.992239,0,0
0.330714,247.6818,87.7764,5.433817,28428.113,474.0412,9.147065,1.945339,56.234856,85.71755,3.160251,-2.988343,0,1
2.713835,259.1002,87.7766,25993.236454,31726.08576,481.574692,70.657708,1.849754,54.933092,4992.004216,2.906097,14552217.349823,0,0
0.493584,243.0822,88.5976,9.088324,24955.079843,1692.301274,7.49604,1.980878,33.279501,57.590834,3.790769,-2.998252,0,0
0.562613,270.9892,88.2728,10.675648,36099.168,879.386,7.029413,1.630141,44.45871,50.05081,2.193084,-2.992182,0,1
0.454579,253.5668,87.0978,7.960657,28119.198338,927.155835,7.64855,1.923754,41.884133,59.102215,3.896355,-2.995422,0,0
0.386354,259.9398,87.72,6.066757,29949.0,871.6192,8.06963,2.038094,45.102337,65.35066,4.523557,-2.996689,0,1
0.484342,254.658,88.6066,8.721273,28080.974236,893.527836,7.271379,1.812162,43.392454,53.19161,2.914561,-2.994647,0,0
0.565222,285.7334,87.2264,10.270533,35732.94,62.20394,6.576151,1.509236,0.695366,43.298477,2.560414,-1.737833,1,1
337.3298,637.6204,437.42667,357.34918,41957.605,1618.5697,357.34918,337.3298,377.36853,397.3879,357.34918,337.3298,1,1
0.471979,251.206,86.9792,8.898741,28147.684,85.21557,7.475653,1.830443,0.732529,56.593838,2.86905,-2.350139,0,1
2.756075,254.8518,87.334,25993.219,32977.594,74.49604,70.657,1.976297,0.923485,4991.937,3.958285,608112200.0,1,1
0.492074,265.5758,88.6688,9.165872,36270.662654,69.592307,7.388646,1.681739,0.708042,55.259371,1.88482,-1.989373,0,0
2.698414,256.9496,87.8784,25992.473,28667.55,1302.6425,70.66111,1.739594,37.04151,4992.325,2.524066,1988876.6,1,1
2.664618,250.4548,87.2764,25992.337057,28210.661957,478.428803,70.662287,1.952255,55.520238,4992.436186,3.37617,14744476.302288,0,0
0.353875,256.4874,87.4252,6.327981,33749.87,67.1424,9.041936,1.950156,0.360697,83.44581,3.272537,-2.232143,0,1
0.384796,246.69,87.6842,6.747044,27926.6391,474.70447,8.437181,1.95603,56.129083,72.840258,3.263822,-2.984679,0,0
0.564747,252.9284,87.6256,10.353823,29559.416,922.801,6.924509,1.962695,42.13148,48.24006,4.387669,-2.993549,0,1
337.3298,617.6011,437.42667,337.3298,35331.19,797.7754,357.34918,337.3298,397.3879,417.4073,357.34918,337.3298,1,1
0.608149,252.8374,87.2974,11.49052,30926.800161,882.531753,6.734875,2.071331,44.307112,45.489477,5.459348,-2.99178,0,0
337.3298,637.6204,437.42667,337.3298,41316.984,797.7754,357.34918,337.3298,397.3879,437.42667,337.3298,337.3298,1,1
0.254115,257.5372,87.0756,3.414314,31221.007816,60.752285,10.420114,1.908181,0.155534,107.659464,3.519296,-2.650481,0,0
0.569857,276.8846,89.4434,10.702757,43788.504,2090.174,6.79059,1.924519,30.251104,46.402485,3.960422,-2.998705,0,1
0.461368,253.3578,87.1196,8.730408,29682.708179,490.344896,7.710527,1.93173,53.541544,60.64216,3.477898,-2.979825,0,0
0.404003,248.7046,87.2236,7.39939,28203.035339,60.771603,8.422483,1.937874,0.366437,72.514349,3.449501,-1.880511,0,0
0.633924,244.9914,89.4224,85.074878,27245.921326,2913.645978,59.714974,2.290234,25.734661,3965.866784,6.430563,0.383729,0,0
337.3298,617.6011,437.42667,357.34918,28784.857,1618.5697,357.34918,337.3298,377.36853,397.3879,357.34918,337.3298,1,1
337.3298,617.6011,417.4073,357.34918,33429.35,817.7948,357.34918,337.3298,397.3879,417.4073,337.3298,337.3298,1,1
0.486454,250.9934,87.2166,9.256425,28153.504156,490.010084,7.372879,1.881337,53.592284,55.034273,3.223958,-2.979291,0,0
0.594002,281.3772,87.5282,11.289515,35259.934,468.9544,6.828113,1.467678,57.193863,46.790173,2.728145,-2.971144,1,1
0.537287,265.3736,87.19,10.534853,35951.010023,65.4735,7.095729,2.167625,0.377368,50.713806,5.518321,-1.609369,0,0
0.757964,253.5678,88.23,14.934764,29708.996603,62.9439,6.028782,1.87946,0.37616,36.071066,3.51555,-0.800395,0,0
0.646139,269.4688,88.4626,12.047459,38567.104227,62.269401,6.369762,2.037767,0.490467,40.67091,4.517005,-1.365316,0,0
0.633044,265.9548,87.7154,11.30134,36864.676357,65.381603,6.135232,2.085284,0.549727,37.202869,4.921587,-1.798826,0,0
0.509885,276.3402,88.201,9.120713,39162.246,1287.6206,7.322506,1.804694,37.641502,54.432957,3.687723,-2.997118,0,1
0.805926,251.4654,88.3,15.901614,29016.334,61.576,5.820167,1.960478,0.391048,33.53469,3.865258,-0.563509,0,1
0.479659,261.469,88.9764,8.983905,33093.760239,931.999843,7.440872,1.727425,41.401325,56.386819,2.386404,-2.994482,0,0
0.439676,241.0458,87.8312,7.410419,26588.062,101.447105,8.394057,2.048594,2.937185,72.11137,3.990568,-2.599215,1,1
2.681334,252.4474,87.8474,25992.127,28764.662,492.02652,70.66283,1.860084,53.28271,4992.4873,2.97464,13940695.0,1,1
0.298828,271.2118,87.2798,4.684504,35401.883341,54.987112,9.772134,1.699803,0.169177,96.529173,2.234742,-2.277636,0,0
0.387607,242.3672,86.8214,6.719227,28148.296764,71.157902,8.722322,2.161319,0.638766,77.82583,5.135758,-2.27932,0,0
0.547171,267.3712,87.7822,10.251035,33018.702211,57.845163,7.161619,1.733848,0.240642,51.737102,2.51311,-1.280971,0,0
0.396848,260.509,86.87,6.798655,34333.56,66.3987,8.281307,1.893168,0.316958,69.85622,3.641346,-2.236176,0,1
0.493317,286.8442,89.0822,9.695644,39428.492,2505.1025,7.569457,1.699546,27.687954,58.335148,3.440975,-2.999081,1,1
0.505526,266.251,86.9034,9.957092,36746.268399,67.567668,7.314454,2.103072,0.503195,54.021015,5.125961,-1.761711,0,0
337.3298,617.6011,437.42667,357.34918,35531.387,1278.2404,357.34918,337.3298,377.36853,397.3879,337.3298,337.3298,1,1
0.348491,253.3272,87.494,6.266723,32179.68774,68.583964,9.111525,2.010989,0.376065,84.731578,3.636465,-2.267527,0,0
0.563905,266.2862,89.4132,10.837431,39630.01,2508.0374,6.935037,2.128905,27.619734,48.681873,4.860145,-2.999035,0,1
0.479576,261.5358,88.9838,8.983969,33138.781918,931.805938,7.440875,1.723752,41.413649,56.386797,2.371627,-2.99448,0,0
337.3298,637.6204,417.4073,357.34918,37653.44,397.3879,357.34918,337.3298,337.3298,397.3879,337.3298,337.3298,1,1
0.675287,254.322,89.7836,12.266994,29194.434,2117.6724,6.420013,2.02607,29.66485,41.331753,4.271785,-2.998512,1,1
337.3298,617.6011,417.4073,337.3298,35211.08,397.3879,357.34918,337.3298,337.3298,457.44604,337.3298,337.3298,1,1
1.79027,243.91,87.4622,11173.504,27772.922,887.66095,70.64218,2.048306,43.914066,4990.536,3.890148,791208.75,0,1
0.420536,259.8928,88.4768,7.170264,30058.050908,2100.983462,7.872872,1.84848,30.079793,62.848771,3.380213,-2.999233,0,0
0.544043,268.3226,89.5404,10.172137,41333.89,2095.2249,7.034841,2.098792,30.13559,50.126766,4.831467,-2.998748,0,1
2.681508,249.9294,87.9042,25992.651173,28059.297616,1293.258222,70.660693,1.942984,37.418283,4992.285838,3.319753,2017856.876305,0,0
2.760445,248.9622,88.0846,25993.242,29683.287,488.85345,70.65682,2.025466,53.759983,4991.921,3.687687,14121864.0,1,1
337.3298,637.6204,437.42667,337.3298,35671.523,397.3879,357.34918,337.3298,337.3298,437.42667,337.3298,337.3298,1,1
0.996466,243.579,89.888,19.302647,27094.271,138.96866,5.22073,2.070468,3.694451,26.60202,4.490773,-2.428888,1,1
