s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,attack
-0.143,9059.320,19.246,0.123,392.025,-0.250,38.996,0
-0.138,9059.650,22.985,0.130,392.075,-0.146,38.985,0
-0.184,9059.730,23.349,0.123,392.125,-0.244,38.978,0
-0.225,9060.020,24.416,0.123,392.125,-0.248,38.975,0
-0.263,9060.550,24.322,0.123,392.100,-0.199,38.978,0
-0.266,9060.920,23.226,0.123,392.150,-0.135,38.973,0
-0.192,9061.300,23.318,0.126,392.225,-0.293,38.966,0
-0.072,9061.560,25.534,0.117,392.225,-0.293,38.965,0
0.058,9062.040,25.268,0.119,392.225,-0.277,38.968,0
-0.011,9062.440,25.333,0.138,392.225,-0.458,38.959,0
0.019,9062.700,24.560,0.137,392.225,-0.458,38.961,0
0.086,9062.990,24.105,0.121,392.275,-0.295,38.955,0
0.275,9063.600,22.886,0.126,392.150,-0.533,38.952,0
0.317,9063.850,22.998,0.126,392.125,-0.490,38.952,0
0.426,9064.660,23.363,0.127,392.075,-0.389,38.946,0
0.342,9064.780,22.205,0.128,392.075,-0.389,38.941,0
0.369,9065.160,23.978,0.128,392.100,-0.450,38.941,0
0.314,9065.430,24.435,0.128,392.100,-0.450,38.937,0
0.314,9065.740,22.630,0.135,392.100,-0.450,38.933,0
0.341,9066.040,23.787,0.136,392.100,-0.450,38.928,0
0.346,9066.230,25.790,0.143,392.125,-0.490,38.922,0
0.291,9066.760,21.341,0.151,392.200,-0.403,38.922,0
0.333,9066.980,21.431,0.116,392.225,-0.458,38.924,0
0.329,9067.380,22.267,0.117,392.225,-0.458,38.920,0
0.193,9067.950,21.683,0.115,392.250,-0.514,38.913,0
0.193,9068.380,30.646,0.106,392.200,-0.406,38.915,0
0.166,9068.680,31.593,0.109,392.250,-0.266,38.914,0
0.230,9068.980,32.111,0.093,392.250,-0.266,38.912,0
0.203,9069.310,31.892,0.097,392.225,-0.233,38.907,0
0.291,9070.300,36.357,0.088,392.250,-0.266,38.905,0
0.220,9070.720,36.977,0.091,392.275,-0.147,38.905,0
0.300,9071.240,39.456,0.097,392.325,-0.132,38.910,0
0.252,9071.810,41.553,0.097,392.425,-0.115,38.905,0
0.227,9072.420,46.139,0.100,392.450,-0.121,38.902,0
0.284,9072.840,48.712,0.103,392.475,-0.092,38.898,0
0.280,9073.980,61.889,0.113,392.425,-0.050,38.901,0
0.193,9074.680,58.495,0.123,392.450,-0.022,38.896,0
0.179,9075.400,67.134,0.133,392.525,-0.070,38.895,0
0.205,9075.880,71.192,0.135,392.575,-0.132,38.884,0
0.190,9076.430,75.599,0.136,392.600,-0.201,38.880,0
0.164,9077.100,75.102,0.137,392.625,-0.271,38.877,0
0.185,9078.650,87.995,0.117,392.700,-0.103,38.871,0
0.133,9079.980,91.805,0.115,392.750,-0.232,38.867,0
0.056,9080.420,91.921,0.118,392.850,-0.007,38.868,0
-0.184,9082.590,107.604,0.104,393.025,-0.219,38.861,0
-0.138,9085.310,125.699,0.113,393.050,-0.401,38.849,0
-0.206,9087.350,143.848,0.121,393.200,-0.163,38.847,0
-0.180,9089.200,161.428,0.125,393.250,-0.263,38.844,0
-0.153,9090.380,171.887,0.123,393.225,-0.206,38.843,0
-0.065,9091.590,174.202,0.131,393.275,-0.217,38.839,0
-0.114,9092.660,175.901,0.125,393.325,-0.243,38.834,0
-0.036,9093.830,191.145,0.125,393.350,-0.281,38.830,0
-0.012,9097.530,233.935,0.132,393.600,-0.197,38.815,0
0.020,9098.990,254.823,0.114,393.650,-0.271,38.806,0
-0.005,9100.280,259.781,0.117,393.675,-0.336,38.799,0
-0.027,9101.680,266.833,0.119,393.725,-0.129,38.796,0
-0.042,9103.270,305.656,0.141,393.775,-0.162,38.788,0
-0.130,9104.540,320.215,0.134,393.775,-0.162,38.787,0
-0.103,9106.120,339.146,0.115,393.775,-0.162,38.778,0
-0.103,9107.610,360.157,0.125,393.800,-0.183,38.769,0
-0.030,9109.340,386.408,0.121,393.850,-0.075,38.767,0
0.035,9112.830,426.501,0.143,393.975,-0.068,38.751,0
-0.050,9114.600,446.896,0.133,394.000,-0.114,38.741,0
-0.015,9116.240,476.374,0.127,394.050,-0.213,38.733,0
0.109,9121.930,583.977,0.162,394.200,-0.289,38.722,0
0.107,9124.070,623.990,0.166,394.200,-0.289,38.716,0
0.107,9126.290,670.886,0.193,394.275,-0.341,38.709,0
0.061,9128.370,687.390,0.200,394.350,-0.405,38.701,0
-0.010,9130.590,742.169,0.199,394.375,-0.376,38.697,0
0.077,9132.930,804.212,0.209,394.450,-0.253,38.688,0
0.402,9051.090,8.789,0.073,392.300,-0.108,38.928,0
0.474,9051.250,9.868,0.073,392.300,-0.108,38.930,0
0.498,9051.210,10.146,0.073,392.275,-0.217,38.930,0
0.536,9051.320,10.878,0.067,392.325,-0.316,38.929,0
0.449,9051.500,10.822,0.068,392.300,-0.275,38.933,0
0.388,9051.600,10.299,0.062,392.275,-0.217,38.934,0
0.559,9051.790,10.865,0.063,392.300,-0.275,38.925,0
0.646,9051.940,11.172,0.060,392.250,-0.159,38.929,0
0.671,9052.330,12.446,0.051,392.175,-0.107,38.920,0
0.671,9052.330,12.452,0.052,392.175,-0.107,38.919,0
0.721,9052.380,12.722,0.062,392.200,-0.163,38.923,0
0.696,9052.650,11.481,0.071,392.225,-0.219,38.921,0
0.636,9052.730,11.221,0.073,392.150,-0.193,38.920,0
0.513,9052.730,11.318,0.065,392.150,-0.193,38.911,0
0.503,9052.660,11.729,0.073,392.125,-0.145,38.904,0
0.503,9052.720,11.271,0.073,392.125,-0.145,38.905,0
0.417,9052.780,11.955,0.071,392.100,-0.094,38.905,0
0.285,9052.790,12.416,0.077,392.050,-0.491,38.891,0
0.241,9052.610,12.240,0.075,392.125,-0.548,38.895,0
0.236,9052.520,12.605,0.078,392.150,-0.614,38.900,0
0.265,9052.830,14.324,0.081,392.175,-0.495,38.899,0
0.380,9052.840,13.675,0.073,392.200,-0.544,38.900,0
0.416,9053.130,14.844,0.072,392.150,-0.437,38.901,0
0.377,9053.160,14.710,0.072,392.200,-0.544,38.901,0
0.381,9053.300,13.786,0.074,392.250,-0.510,38.902,0
0.346,9053.450,14.468,0.074,392.275,-0.446,38.910,0
0.272,9053.910,16.153,0.070,392.300,-0.397,38.903,0
0.248,9054.230,17.795,0.070,392.375,-0.462,38.906,0
0.220,9054.280,17.642,0.072,392.350,-0.405,38.898,0
0.173,9054.410,18.152,0.067,392.425,-0.477,38.909,0
0.149,9054.280,17.963,0.071,392.400,-0.418,38.902,0
0.067,9054.440,16.563,0.071,392.450,-0.358,38.899,0
0.061,9054.430,16.653,0.069,392.475,-0.389,38.893,0
0.049,9054.940,19.099,0.068,392.525,-0.430,38.895,0
0.047,9055.340,22.410,0.075,392.575,-0.479,38.891,0
-0.046,9055.480,23.895,0.081,392.625,-0.576,38.892,0
-0.197,9055.660,25.101,0.079,392.600,-0.596,38.883,0
-0.295,9055.720,25.000,0.075,392.575,-0.527,38.881,0
-0.320,9055.900,25.402,0.072,392.550,-0.459,38.887,0
-0.369,9056.080,25.434,0.069,392.600,-0.283,38.884,0
-0.266,9056.830,25.713,0.069,392.600,-0.283,38.887,0
-0.309,9057.480,24.074,0.064,392.625,-0.273,38.890,0
-0.309,9057.650,25.793,0.069,392.625,-0.273,38.889,0
-0.283,9058.120,22.814,0.069,392.675,-0.326,38.886,0
-0.257,9058.230,22.004,0.065,392.675,-0.326,38.884,0
