s_os2,m_Nc,v_Nc,v_phi,m_htBleed,s_htBleed,m_W31,attack
0.04,9047.52,18.555,0.141,393.225,-0.094,38.787,0
0.025,9047.48,18.295,0.144,393.25,-0.157,38.784,0
0.025,9047.53,18.236,0.149,393.25,-0.157,38.777,0
0.036,9047.63,17.209,0.171,393.325,0.134,38.771,0
-0.032,9047.68,16.762,0.182,393.35,0.068,38.769,0
0.023,9047.57,16.037,0.194,393.4,-0.011,38.758,0
-0.025,9047.39,17.798,0.191,393.375,0.056,38.756,0
0.045,9047.24,18.169,0.214,393.45,-0.005,38.75,0
0.039,9047.1,18.827,0.218,393.475,-0.072,38.747,0
0.045,9046.59,19.214,0.194,393.475,-0.072,38.744,0
0.151,9046.84,20.866,0.173,393.525,-0.131,38.737,0
0.167,9046.77,21.354,0.191,393.625,0.036,38.735,0
0.185,9046.65,22.656,0.176,393.625,0.036,38.738,0
0.138,9046.47,23.01,0.178,393.65,0.021,38.727,0
0.117,9046.27,22.894,0.18,393.7,-0.01,38.72,0
0.137,9046.39,22.144,0.185,393.725,-0.077,38.719,0
0.183,9046.53,21.249,0.167,393.775,0.055,38.713,0
0.163,9046.45,20.997,0.15,393.85,0.015,38.704,0
0.213,9046.43,21.054,0.147,393.875,-0.024,38.701,0
0.187,9045.7,20.727,0.145,394.0,0.202,38.685,0
0.182,9045.57,21.2,0.145,394.125,0.385,38.678,0
0.106,9045.33,21.033,0.146,394.2,0.292,38.673,0
0.024,9045.29,20.792,0.152,394.25,0.207,38.665,0
-0.028,9045.21,20.782,0.153,394.25,0.207,38.661,0
-0.028,9045.35,21.72,0.146,394.375,0.333,38.655,0
-0.167,9044.76,20.311,0.16,394.675,0.411,38.628,0
-0.167,9044.63,20.106,0.164,394.675,0.411,38.625,0
-0.503,9053.47,12.845,0.09,391.225,0.867,39.049,0
-0.61,9053.34,14.005,0.093,391.225,0.867,39.05,0
-0.543,9053.33,13.987,0.099,391.25,0.778,39.045,0
-0.621,9053.31,13.78,0.102,391.275,0.692,39.043,0
-0.407,9053.34,14.445,0.101,391.225,0.744,39.032,0
-0.484,9053.24,15.951,0.098,391.25,0.661,39.03,0
-0.549,9053.17,16.321,0.103,391.25,0.661,39.033,0
-0.513,9052.99,15.512,0.1,391.25,0.661,39.03,0
-0.502,9053.06,15.726,0.099,391.25,0.661,39.022,0
-0.305,9053.21,15.449,0.084,391.275,0.579,39.028,0
-0.336,9053.08,17.03,0.08,391.25,0.563,39.032,0
-0.316,9053.09,17.004,0.083,391.225,0.647,39.034,0
-0.316,9053.11,16.977,0.087,391.225,0.647,39.039,0
-0.243,9052.98,17.518,0.084,391.2,0.734,39.041,0
-0.204,9053.16,17.837,0.09,391.25,0.661,39.044,0
-0.204,9053.2,18.1,0.091,391.25,0.661,39.039,0
-0.139,9053.09,18.584,0.09,391.25,0.661,39.045,0
-0.167,9053.24,20.895,0.092,391.225,0.647,39.039,0
-0.143,9053.29,21.162,0.092,391.225,0.647,39.037,0
0.036,9053.16,20.939,0.088,391.275,0.579,39.04,0
0.084,9053.18,20.983,0.087,391.325,0.528,39.04,0
0.097,9052.99,21.311,0.089,391.4,0.41,39.042,0
0.119,9053.08,21.068,0.091,391.425,0.332,39.036,0
0.215,9053.52,20.435,0.098,391.425,0.332,39.038,0
0.262,9053.56,20.851,0.101,391.45,0.386,39.043,0
0.232,9053.46,20.474,0.097,391.4,-0.159,39.041,0
0.288,9053.37,20.372,0.1,391.425,-0.239,39.035,0
0.36,9053.22,19.799,0.098,391.45,-0.32,39.034,0
0.488,9053.45,18.53,0.112,391.45,-0.32,39.036,0
0.474,9053.43,18.535,0.112,391.425,-0.239,39.04,0
0.507,9053.66,17.289,0.107,391.4,-0.159,39.042,0
0.38,9053.01,17.196,0.112,391.4,-0.03,39.044,0
0.487,9053.25,16.343,0.11,391.45,0.005,39.049,0
0.499,9053.23,16.128,0.111,391.425,0.088,39.045,0
0.499,9053.37,15.729,0.107,391.5,0.161,39.045,0
0.67,9053.17,16.86,0.109,391.45,0.163,39.045,0
0.577,9052.97,17.071,0.106,391.45,0.163,39.038,0
0.508,9053.51,15.887,0.115,391.475,0.081,39.027,0
0.394,9053.6,14.901,0.113,391.475,-0.049,39.019,0
0.346,9053.69,14.34,0.107,391.475,-0.049,39.011,0
0.34,9053.42,12.888,0.105,391.475,-0.049,39.014,0
0.313,9053.59,12.28,0.105,391.45,-0.078,39.013,0
0.244,9053.63,12.559,0.107,391.475,-0.154,39.015,0
0.199,9053.81,14.272,0.108,391.5,-0.105,39.018,0
0.199,9054.06,14.289,0.107,391.5,-0.105,39.02,0
0.16,9054.1,14.41,0.106,391.475,-0.03,39.015,0
0.16,9054.3,13.309,0.109,391.425,0.121,39.015,0
0.221,9054.68,16.755,0.106,391.425,0.121,39.02,0
0.199,9054.47,17.325,0.1,391.45,0.154,39.024,0
0.348,9054.39,16.389,0.098,391.4,0.197,39.021,0
0.306,9054.43,16.263,0.096,391.375,0.273,39.023,0
0.317,9054.38,15.539,0.096,391.45,0.154,39.016,0
0.248,9054.39,15.553,0.089,391.45,0.154,39.022,0
0.077,9054.3,15.777,0.09,391.5,0.0,39.015,0
0.077,9054.51,14.778,0.073,391.525,0.049,39.011,0
0.01,9054.59,14.359,0.07,391.525,0.049,39.013,0
0.052,9054.87,14.506,0.067,391.525,0.049,39.012,0
-0.03,9055.02,14.182,0.067,391.5,0.0,39.013,0
-0.062,9054.96,14.118,0.064,391.525,-0.081,39.013,0
-0.078,9054.92,14.235,0.063,391.5,-0.161,39.007,0
-0.078,9055.09,15.017,0.063,391.525,-0.086,39.008,0
-0.137,9055.34,12.817,0.062,391.55,-0.172,39.006,0
-0.095,9055.56,12.784,0.061,391.5,-0.161,39.008,0
-0.095,9055.85,12.34,0.066,391.525,-0.245,39.007,0
0.033,9056.03,11.786,0.055,391.4,-0.444,39.002,0
0.071,9056.06,11.846,0.055,391.4,-0.444,39.0,0
0.073,9056.23,13.243,0.047,391.425,-0.515,38.994,0
0.02,9056.31,13.201,0.049,391.375,-0.562,38.988,0
-0.042,9056.36,13.148,0.052,391.45,-0.542,38.995,0
-0.081,9056.56,13.106,0.052,391.45,-0.542,38.997,0
-0.099,9056.85,12.482,0.056,391.525,-0.539,38.993,0
-0.059,9056.87,12.551,0.058,391.55,-0.467,38.989,0
-0.043,9056.6,12.698,0.059,391.5,-0.462,38.986,0
-0.043,9056.49,12.61,0.063,391.55,-0.467,38.989,0
-0.114,9056.68,12.164,0.065,391.55,-0.467,38.983,0
-0.198,9056.23,10.371,0.065,391.475,-0.31,38.972,0
-0.304,9056.45,9.2,0.067,391.5,-0.383,38.958,0
-0.289,9056.53,9.057,0.066,391.55,-0.467,38.963,0
-0.263,9056.75,10.918,0.065,391.6,-0.119,38.961,0
-0.226,9056.8,10.905,0.065,391.6,-0.119,38.961,0
-0.123,9056.98,11.054,0.059,391.675,-0.191,38.958,0
-0.123,9057.36,10.54,0.058,391.7,-0.201,38.956,0
-0.209,9057.49,10.314,0.064,391.7,-0.201,38.956,0
-0.248,9057.59,10.594,0.064,391.725,-0.268,38.951,0
-0.211,9057.62,10.413,0.063,391.75,-0.281,38.94,0
-0.311,9057.91,11.222,0.065,391.8,-0.162,38.938,0
-0.33,9058.03,11.258,0.063,391.8,-0.162,38.936,0
-0.39,9057.93,11.302,0.073,391.85,-0.2,38.94,0
-0.376,9057.87,11.099,0.081,391.85,-0.2,38.941,0
-0.311,9058.0,12.662,0.081,391.95,-0.145,38.943,0
-0.392,9058.41,13.932,0.082,391.975,-0.186,38.942,0
-0.407,9058.46,13.845,0.087,392.05,0.225,38.944,0
-0.409,9058.47,13.831,0.087,392.1,0.128,38.938,0
-0.408,9058.3,13.204,0.084,392.075,0.164,38.939,0
-0.366,9058.55,12.262,0.077,392.15,0.129,38.939,0
-0.266,9058.55,12.258,0.072,392.15,0.129,38.936,0
-0.17,9058.78,15.141,0.075,392.175,0.098,38.937,0
-0.075,9058.94,15.818,0.073,392.15,0.162,38.938,0
-0.027,9059.12,17.534,0.074,392.2,0.143,38.929,0
-0.061,9059.12,17.534,0.075,392.175,0.207,38.932,0
-0.2,9059.57,15.804,0.096,392.2,0.183,38.928,0
-0.277,9060.05,18.01,0.092,392.225,0.162,38.923,0
-0.277,9060.11,17.777,0.092,392.275,0.077,38.923,0
-0.348,9060.35,17.737,0.09,392.35,0.25,38.924,0
-0.334,9060.83,19.367,0.091,392.375,0.273,38.924,0
-0.25,9060.95,19.422,0.106,392.4,0.197,38.924,0
-0.189,9061.23,19.095,0.105,392.45,0.154,38.925,0
-0.285,9061.36,18.052,0.105,392.475,0.077,38.927,0
-0.285,9061.29,18.922,0.105,392.525,0.049,38.926,0
-0.373,9061.23,18.311,0.106,392.425,-0.303,38.919,0
-0.428,9061.3,18.157,0.114,392.45,-0.237,38.923,0
-0.452,9061.45,18.584,0.115,392.475,-0.192,38.924,0
-0.435,9061.58,18.143,0.114,392.45,-0.121,38.927,0
-0.391,9062.06,21.905,0.116,392.475,-0.192,38.911,0
-0.318,9062.36,21.318,0.125,392.525,-0.336,38.911,0
-0.346,9062.65,21.028,0.124,392.5,-0.264,38.911,0
-0.443,9062.8,19.842,0.124,392.575,-0.305,38.909,0
-0.427,9062.95,19.67,0.152,392.575,-0.305,38.91,0
-0.389,9062.92,19.556,0.142,392.55,-0.339,38.911,0
-0.32,9063.07,19.7,0.142,392.55,-0.339,38.91,0
-0.259,9063.38,18.882,0.139,392.525,-0.336,38.908,0
-0.298,9063.57,18.432,0.136,392.525,-0.336,38.904,0
-0.294,9063.48,18.238,0.136,392.425,-0.474,38.899,0
-0.315,9063.69,18.586,0.148,392.5,-0.243,38.892,0
-0.377,9063.77,17.918,0.152,392.475,-0.179,38.897,0
-0.325,9064.44,19.971,0.135,392.525,-0.261,38.894,0
-0.292,9064.69,19.35,0.156,392.525,-0.261,38.89,0
-0.302,9065.06,19.56,0.149,392.55,-0.252,38.891,0
-0.363,9065.03,19.335,0.136,392.575,-0.318,38.884,0
-0.468,9065.15,19.694,0.15,392.6,-0.384,38.884,0
-0.498,9065.22,20.234,0.153,392.6,-0.384,38.882,0
-0.429,9065.48,19.771,0.143,392.625,-0.452,38.878,0
-0.441,9065.73,19.87,0.138,392.675,-0.514,38.876,0
-0.415,9065.9,20.002,0.125,392.725,-0.582,38.874,0
-0.337,9066.39,22.2,0.133,392.75,-0.586,38.861,0
-0.299,9066.7,22.685,0.135,392.8,-0.604,38.851,0
-0.289,9066.8,22.965,0.123,392.825,-0.618,38.85,0
-0.276,9067.14,22.995,0.119,392.85,-0.635,38.843,0
-0.313,9067.72,17.713,0.127,392.975,-0.615,38.828,0
-0.245,9068.06,16.442,0.127,393.025,-0.714,38.822,0
-0.068,9069.35,22.348,0.13,393.175,-0.426,38.803,0
-0.041,9069.55,22.108,0.145,393.175,-0.426,38.794,0
-0.012,9071.18,28.257,0.171,393.35,-0.302,38.778,0
0.014,9071.47,28.021,0.172,393.45,-0.334,38.775,0
-0.038,9072.03,27.385,0.182,393.525,-0.489,38.762,0
-0.093,9072.27,27.744,0.213,393.6,-0.504,38.749,0
-0.065,9072.72,30.141,0.213,393.65,-0.602,38.749,0
-0.15,9073.27,30.957,0.204,393.725,0.22,38.748,0
-0.113,9073.55,32.901,0.206,393.725,0.22,38.746,0
-0.125,9074.04,32.894,0.181,393.775,0.124,38.738,0
-0.065,9074.99,33.164,0.172,393.85,0.12,38.721,0
-0.165,9075.96,39.75,0.193,393.875,0.078,38.692,0
-0.112,9076.25,38.476,0.189,393.925,-0.02,38.684,0
-0.07,9076.52,37.393,0.189,393.975,-0.119,38.683,0
-0.103,9076.94,38.921,0.194,394.0,-0.162,38.68,0
-0.176,9077.34,39.384,0.202,394.05,-0.263,38.678,0
-0.108,9077.84,35.237,0.194,394.125,0.111,38.67,0
-0.077,9078.75,37.625,0.2,394.2,-0.043,38.658,0
-0.069,9079.13,37.613,0.214,394.25,-0.139,38.655,0
0.031,9079.29,37.959,0.219,394.275,-0.198,38.652,0
-0.036,9079.72,38.541,0.213,394.3,-0.257,38.644,0
0.044,9080.67,39.458,0.219,394.375,-0.229,38.636,0
-0.031,9081.67,41.524,0.212,394.475,-0.3,38.617,0
-0.037,9082.13,37.906,0.211,394.525,-0.349,38.612,0
0.021,9082.71,36.522,0.222,394.55,-0.414,38.614,0
0.044,9083.3,38.586,0.224,394.6,-0.469,38.61,0
-0.022,9084.84,44.612,0.253,394.75,-0.12,38.594,0
0.05,9085.17,44.91,0.221,394.85,-0.129,38.585,0
-0.026,9085.32,43.635,0.212,394.925,0.072,38.581,0
-0.007,9086.19,43.51,0.208,395.0,0.0,38.564,0
0.082,9086.86,46.291,0.2,394.975,0.047,38.556,0
-0.292,9055.01,15.761,0.068,391.725,0.085,38.98,0
-0.244,9055.1,16.443,0.075,391.75,0.021,38.981,0
-0.191,9055.08,16.292,0.076,391.75,0.021,38.982,0
-0.183,9055.37,16.867,0.081,391.725,0.044,38.982,0
-0.207,9055.37,16.87,0.083,391.725,0.044,38.987,0
-0.145,9055.41,16.851,0.082,391.75,-0.022,38.995,0
-0.232,9055.88,19.098,0.079,391.75,-0.022,38.989,0
-0.233,9055.96,18.706,0.079,391.75,-0.022,38.989,0
-0.291,9055.83,18.408,0.079,391.75,-0.022,38.99,0
-0.15,9055.71,18.205,0.075,391.725,0.044,38.991,0
-0.134,9055.78,17.858,0.075,391.75,-0.022,38.997,0
-0.092,9056.08,17.413,0.084,391.725,-0.004,39.003,0
-0.09,9056.28,19.456,0.087,391.75,0.08,38.999,0
-0.109,9056.23,19.518,0.081,391.75,0.08,38.997,0
-0.123,9056.39,18.87,0.081,391.9,0.199,38.998,0
-0.112,9056.57,18.44,0.08,391.875,0.248,38.993,0
-0.112,9056.57,18.434,0.079,391.925,0.389,38.99,0
-0.209,9056.7,17.687,0.091,391.9,0.197,38.991,0
-0.294,9056.81,15.955,0.091,391.975,0.233,38.991,0
-0.315,9057.08,16.66,0.088,392.0,0.176,38.984,0
-0.377,9057.03,16.418,0.084,392.025,0.119,38.98,0
-0.442,9056.89,16.961,0.084,392.05,0.063,38.982,0
-0.515,9057.22,15.243,0.078,392.1,-0.036,38.99,0
-0.562,9057.59,12.892,0.077,392.125,-0.078,38.993,0
-0.479,9057.64,13.111,0.074,392.125,-0.078,38.995,0
-0.429,9057.68,12.948,0.074,392.125,-0.078,38.999,0
-0.388,9057.82,13.306,0.08,392.125,-0.078,38.997,0
-0.388,9058.2,14.44,0.081,392.125,-0.078,39.0,0
-0.388,9058.39,15.174,0.08,392.15,-0.12,38.998,0
-0.302,9058.4,15.112,0.086,392.125,-0.062,38.992,0
-0.302,9058.58,15.268,0.113,392.125,-0.062,38.99,0
-0.21,9059.1,18.476,0.11,392.075,-0.143,38.993,0
-0.143,9059.32,19.246,0.123,392.025,-0.25,38.996,0
-0.138,9059.65,22.985,0.13,392.075,-0.146,38.985,0
-0.184,9059.73,23.349,0.123,392.125,-0.244,38.978,0
-0.225,9060.02,24.416,0.123,392.125,-0.248,38.975,0
-0.263,9060.55,24.322,0.123,392.1,-0.199,38.978,0
-0.266,9060.92,23.226,0.123,392.15,-0.135,38.973,0
-0.192,9061.3,23.318,0.126,392.225,-0.293,38.966,0
-0.072,9061.56,25.534,0.117,392.225,-0.293,38.965,0
0.058,9062.04,25.268,0.119,392.225,-0.277,38.968,0
-0.011,9062.44,25.333,0.138,392.225,-0.458,38.959,0
0.019,9062.7,24.56,0.137,392.225,-0.458,38.961,0
0.086,9062.99,24.105,0.121,392.275,-0.295,38.955,0
0.275,9063.6,22.886,0.126,392.15,-0.533,38.952,0
0.317,9063.85,22.998,0.126,392.125,-0.49,38.952,0
0.426,9064.66,23.363,0.127,392.075,-0.389,38.946,0
0.342,9064.78,22.205,0.128,392.075,-0.389,38.941,0
0.369,9065.16,23.978,0.128,392.1,-0.45,38.941,0
0.314,9065.43,24.435,0.128,392.1,-0.45,38.937,0
0.314,9065.74,22.63,0.135,392.1,-0.45,38.933,0
0.341,9066.04,23.787,0.136,392.1,-0.45,38.928,0
0.346,9066.23,25.79,0.143,392.125,-0.49,38.922,0
0.291,9066.76,21.341,0.151,392.2,-0.403,38.922,0
0.333,9066.98,21.431,0.116,392.225,-0.458,38.924,0
0.329,9067.38,22.267,0.117,392.225,-0.458,38.92,0
0.193,9067.95,21.683,0.115,392.25,-0.514,38.913,0
0.193,9068.38,30.646,0.106,392.2,-0.406,38.915,0
0.166,9068.68,31.593,0.109,392.25,-0.266,38.914,0
0.23,9068.98,32.111,0.093,392.25,-0.266,38.912,0
0.203,9069.31,31.892,0.097,392.225,-0.233,38.907,0
0.291,9070.3,36.357,0.088,392.25,-0.266,38.905,0
0.22,9070.72,36.977,0.091,392.275,-0.147,38.905,0
0.3,9071.24,39.456,0.097,392.325,-0.132,38.91,0
0.252,9071.81,41.553,0.097,392.425,-0.115,38.905,0
0.227,9072.42,46.139,0.1,392.45,-0.121,38.902,0
0.284,9072.84,48.712,0.103,392.475,-0.092,38.898,0
0.28,9073.98,61.889,0.113,392.425,-0.05,38.901,0
0.193,9074.68,58.495,0.123,392.45,-0.022,38.896,0
0.179,9075.4,67.134,0.133,392.525,-0.07,38.895,0
0.205,9075.88,71.192,0.135,392.575,-0.132,38.884,0
0.19,9076.43,75.599,0.136,392.6,-0.201,38.88,0
0.164,9077.1,75.102,0.137,392.625,-0.271,38.877,0
0.185,9078.65,87.995,0.117,392.7,-0.103,38.871,0
0.133,9079.98,91.805,0.115,392.75,-0.232,38.867,0
0.056,9080.42,91.921,0.118,392.85,-0.007,38.868,0
-0.184,9082.59,107.604,0.104,393.025,-0.219,38.861,0
-0.138,9085.31,125.699,0.113,393.05,-0.401,38.849,0
-0.206,9087.35,143.848,0.121,393.2,-0.163,38.847,0
-0.18,9089.2,161.428,0.125,393.25,-0.263,38.844,0
-0.153,9090.38,171.887,0.123,393.225,-0.206,38.843,0
-0.065,9091.59,174.202,0.131,393.275,-0.217,38.839,0
-0.114,9092.66,175.901,0.125,393.325,-0.243,38.834,0
-0.036,9093.83,191.145,0.125,393.35,-0.281,38.83,0
-0.012,9097.53,233.935,0.132,393.6,-0.197,38.815,0
0.02,9098.99,254.823,0.114,393.65,-0.271,38.806,0
-0.005,9100.28,259.781,0.117,393.675,-0.336,38.799,0
-0.027,9101.68,266.833,0.119,393.725,-0.129,38.796,0
-0.042,9103.27,305.656,0.141,393.775,-0.162,38.788,0
-0.13,9104.54,320.215,0.134,393.775,-0.162,38.787,0
-0.103,9106.12,339.146,0.115,393.775,-0.162,38.778,0
-0.103,9107.61,360.157,0.125,393.8,-0.183,38.769,0
-0.03,9109.34,386.408,0.121,393.85,-0.075,38.767,0
0.035,9112.83,426.501,0.143,393.975,-0.068,38.751,0
-0.05,9114.6,446.896,0.133,394.0,-0.114,38.741,0
-0.015,9116.24,476.374,0.127,394.05,-0.213,38.733,0
0.109,9121.93,583.977,0.162,394.2,-0.289,38.722,0
0.107,9124.07,623.99,0.166,394.2,-0.289,38.716,0
0.107,9126.29,670.886,0.193,394.275,-0.341,38.709,0
0.061,9128.37,687.39,0.2,394.35,-0.405,38.701,0
-0.01,9130.59,742.169,0.199,394.375,-0.376,38.697,0
0.077,9132.93,804.212,0.209,394.45,-0.253,38.688,0
0.402,9051.09,8.789,0.073,392.3,-0.108,38.928,0
0.474,9051.25,9.868,0.073,392.3,-0.108,38.93,0
0.498,9051.21,10.146,0.073,392.275,-0.217,38.93,0
0.536,9051.32,10.878,0.067,392.325,-0.316,38.929,0
0.449,9051.5,10.822,0.068,392.3,-0.275,38.933,0
0.388,9051.6,10.299,0.062,392.275,-0.217,38.934,0
0.559,9051.79,10.865,0.063,392.3,-0.275,38.925,0
0.646,9051.94,11.172,0.06,392.25,-0.159,38.929,0
0.671,9052.33,12.446,0.051,392.175,-0.107,38.92,0
0.671,9052.33,12.452,0.052,392.175,-0.107,38.919,0
0.721,9052.38,12.722,0.062,392.2,-0.163,38.923,0
0.696,9052.65,11.481,0.071,392.225,-0.219,38.921,0
0.636,9052.73,11.221,0.073,392.15,-0.193,38.92,0
0.513,9052.73,11.318,0.065,392.15,-0.193,38.911,0
0.503,9052.66,11.729,0.073,392.125,-0.145,38.904,0
0.503,9052.72,11.271,0.073,392.125,-0.145,38.905,0
0.417,9052.78,11.955,0.071,392.1,-0.094,38.905,0
0.285,9052.79,12.416,0.077,392.05,-0.491,38.891,0
0.241,9052.61,12.24,0.075,392.125,-0.548,38.895,0
0.236,9052.52,12.605,0.078,392.15,-0.614,38.9,0
0.265,9052.83,14.324,0.081,392.175,-0.495,38.899,0
0.38,9052.84,13.675,0.073,392.2,-0.544,38.9,0
0.416,9053.13,14.844,0.072,392.15,-0.437,38.901,0
0.377,9053.16,14.71,0.072,392.2,-0.544,38.901,0
0.381,9053.3,13.786,0.074,392.25,-0.51,38.902,0
0.346,9053.45,14.468,0.074,392.275,-0.446,38.91,0
0.272,9053.91,16.153,0.07,392.3,-0.397,38.903,0
0.248,9054.23,17.795,0.07,392.375,-0.462,38.906,0
0.22,9054.28,17.642,0.072,392.35,-0.405,38.898,0
0.173,9054.41,18.152,0.067,392.425,-0.477,38.909,0
0.149,9054.28,17.963,0.071,392.4,-0.418,38.902,0
0.067,9054.44,16.563,0.071,392.45,-0.358,38.899,0
0.061,9054.43,16.653,0.069,392.475,-0.389,38.893,0
0.049,9054.94,19.099,0.068,392.525,-0.43,38.895,0
0.047,9055.34,22.41,0.075,392.575,-0.479,38.891,0
-0.046,9055.48,23.895,0.081,392.625,-0.576,38.892,0
-0.197,9055.66,25.101,0.079,392.6,-0.596,38.883,0
-0.295,9055.72,25.0,0.075,392.575,-0.527,38.881,0
-0.32,9055.9,25.402,0.072,392.55,-0.459,38.887,0
-0.369,9056.08,25.434,0.069,392.6,-0.283,38.884,0
-0.266,9056.83,25.713,0.069,392.6,-0.283,38.887,0
-0.309,9057.48,24.074,0.064,392.625,-0.273,38.89,0
-0.309,9057.65,25.793,0.069,392.625,-0.273,38.889,0
-0.283,9058.12,22.814,0.069,392.675,-0.326,38.886,0
-0.257,9058.23,22.004,0.065,392.675,-0.326,38.884,0
